bylines_name,bylines_grp,bylines_url_key
Martin Kuba,ODS,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ods.png
Starostové a nezávislí,STAN,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/stan.png
ANO 2011,ANO,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ano.png
Andrej Babiš,ANO,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ano.png
TOP 09,TOP 09,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/top.png
Svoboda a přímá demokracie,SPD,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/spd.png
STAROSTOVÉ A NEZÁVISLÍ,STAN,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/stan.png
KDU,KDU-ČSL,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/kducsl.png
KDU-ČSL,KDU-ČSL,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/kducsl.png
Česká pirátská strana - Praha,Piráti,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/pirati.png
Oldřich Hájek,ANO,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ano.png
Berenika Peštová-poslankyně,ANO,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ano.png
"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",ANO,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ano.png
Jakub Horák,Piráti,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/pirati.png
Jana Maláčová,SOCDEM,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/socdem.png
Radomír Nepil - místostarosta Osmičky,ANO,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ano.png
Radim F. Holeček,ANO,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ano.png
Bold News,ANO,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ano.png
Oldřich Hájek - senátor,ANO,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ano.png
Jana Bobošíková,KSČM,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/kscm.png
Zdeněk Kettner - SPD,SPD,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/spd.png
Pavel Tůma,SPD,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/spd.png
Stanislav Blaha,TOP 09,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/top.png
Martin Sedeke,ODS,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ods.png
SPOLU pro Prahu,ODS,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ods.png
Roman Roun,KSČM,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/kscm.png
MUDr. Jan Síla • SPD,SPD,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/spd.png
Pavel Huml, STAN,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/stan.png
"Ondřej Počarovský, Radní Prahy 10",TOP 09,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/top.png
Pavel Dobeš • místostarosta Prahy 3,STAN,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/stan.png
Lukáš Otys,TOP 09,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/top.png
Benjamin Činčila,KDU-ČSL,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/kducsl.png
Eduard Hulicius - kandidát na poslance,KDU-ČSL,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/kducsl.png
Kužílková Lucie,ODS,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ods.png
Lucie Kužílková,ODS,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ods.png
Eva Decroix,ODS,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ods.png
Martin Baxa,ODS,https://raw.githubusercontent.com/Thepilli/political_ads/refs/heads/main/PBI/assets/parties/ods.png
